"","Species","PlotID","Date","Year","Replicate","Birds","counter"
"1","BLKI","1",1990-06-21,1990,"1",26,1
"2","BLKI","1",1990-06-24,1990,"2",32,2
"3","BLKI","1",1990-06-27,1990,"3",40,3
"4","BLKI","1",1990-06-29,1990,"4",14,4
"5","BLKI","1",1990-07-01,1990,"5",33,5
"6","BLKI","1",1990-07-06,1990,"6",21,6
"7","BLKI","1",1990-07-09,1990,"7",26,7
"8","BLKI","1",1990-07-11,1990,"8",20,8
"9","BLKI","1",1990-07-14,1990,"9",25,9
"10","BLKI","1",1990-07-16,1990,"10",40,10
"11","BLKI","1",1991-06-06,1991,"1",31,1
"12","BLKI","1",1991-06-09,1991,"2",26,2
"13","BLKI","1",1991-06-12,1991,"3",28,3
"14","BLKI","1",1991-06-14,1991,"4",30,4
"15","BLKI","1",1991-06-18,1991,"5",27,5
"16","BLKI","1",1991-06-20,1991,"6",21,6
"17","BLKI","1",1991-06-22,1991,"7",26,7
"18","BLKI","1",1991-07-04,1991,"8",19,8
"19","BLKI","1",1991-07-11,1991,"9",21,9
"20","BLKI","1",1992-06-08,1992,"1",25,1
"21","BLKI","1",1992-06-13,1992,"2",28,2
"22","BLKI","1",1992-06-15,1992,"3",29,3
"23","BLKI","1",1992-06-20,1992,"4",25,4
"24","BLKI","1",1992-06-21,1992,"5",31,5
"25","BLKI","1",1992-06-23,1992,"6",35,6
"26","BLKI","1",1992-07-01,1992,"7",29,7
"27","BLKI","1",1992-07-07,1992,"8",28,8
"28","BLKI","1",1992-07-08,1992,"9",30,9
"29","BLKI","1",1992-07-15,1992,"10",27,10
"30","BLKI","1",1993-06-01,1993,"1",43,1
"31","BLKI","1",1993-06-10,1993,"2",45,2
"32","BLKI","1",1993-06-16,1993,"3",36,3
"33","BLKI","1",1993-06-20,1993,"4",34,4
"34","BLKI","1",1993-06-22,1993,"5",28,5
"35","BLKI","1",1993-06-24,1993,"6",33,6
"36","BLKI","1",1993-06-30,1993,"7",32,7
"37","BLKI","1",1993-07-07,1993,"8",22,8
"38","BLKI","1",1994-06-05,1994,"1",37,1
"39","BLKI","1",1994-06-07,1994,"2",33,2
"40","BLKI","1",1994-06-09,1994,"3",44,3
"41","BLKI","1",1994-06-11,1994,"4",45,4
"42","BLKI","1",1994-06-16,1994,"5",36,5
"43","BLKI","1",1994-06-20,1994,"6",37,6
"44","BLKI","1",1994-06-22,1994,"7",33,7
"45","BLKI","1",1994-06-26,1994,"8",22,8
"46","BLKI","1",1994-06-28,1994,"9",22,9
"47","BLKI","1",1994-06-30,1994,"10",40,10
"48","BLKI","1",1995-06-06,1995,"1",21,1
"49","BLKI","1",1995-06-08,1995,"2",25,2
"50","BLKI","1",1995-06-12,1995,"3",25,3
"51","BLKI","1",1995-06-16,1995,"4",20,4
"52","BLKI","1",1995-06-18,1995,"5",31,5
"53","BLKI","1",1995-06-20,1995,"6",35,6
"54","BLKI","1",1995-06-22,1995,"7",27,7
"55","BLKI","1",1995-06-24,1995,"8",31,8
"56","BLKI","1",1995-06-26,1995,"9",23,9
"57","BLKI","1",1996-06-05,1996,"1",26,1
"58","BLKI","1",1996-06-11,1996,"2",10,2
"59","BLKI","1",1996-06-13,1996,"3",13,3
"60","BLKI","1",1996-06-14,1996,"4",20,4
"61","BLKI","1",1996-06-21,1996,"5",24,5
"62","BLKI","1",1996-06-22,1996,"6",28,6
"63","BLKI","1",1996-06-24,1996,"7",20,7
"64","BLKI","1",1996-06-26,1996,"8",14,8
"65","BLKI","1",1996-06-28,1996,"9",1,9
"66","BLKI","1",1996-06-30,1996,"10",13,10
"67","BLKI","1",1997-06-09,1997,"1",37,1
"68","BLKI","1",1997-06-10,1997,"2",40,2
"69","BLKI","1",1997-06-11,1997,"3",36,3
"70","BLKI","1",1997-06-12,1997,"4",36,4
"71","BLKI","1",1997-06-13,1997,"5",30,5
"72","BLKI","1",1997-06-15,1997,"6",28,6
"73","BLKI","1",1997-06-16,1997,"7",29,7
"74","BLKI","1",1997-06-17,1997,"8",36,8
"75","BLKI","1",1997-06-18,1997,"9",32,9
"76","BLKI","1",1997-06-20,1997,"10",36,10
"77","BLKI","1",1998-06-12,1998,"1",22,1
"78","BLKI","1",1998-06-13,1998,"2",29,2
"79","BLKI","1",1998-06-14,1998,"3",25,3
"80","BLKI","1",1998-06-16,1998,"4",31,4
"81","BLKI","1",1998-06-21,1998,"5",28,5
"82","BLKI","1",1998-06-22,1998,"6",21,6
"83","BLKI","1",1998-06-24,1998,"7",25,7
"84","BLKI","1",1998-06-25,1998,"8",22,8
"85","BLKI","1",1998-06-30,1998,"9",13,9
"86","BLKI","1",1998-07-03,1998,"10",25,10
"87","BLKI","1",1998-07-06,1998,"11",24,11
"88","BLKI","1",1999-06-26,1999,"1",11,1
"89","BLKI","1",1999-06-28,1999,"2",15,2
"90","BLKI","1",1999-07-01,1999,"3",18,3
"91","BLKI","1",1999-07-03,1999,"4",15,4
"92","BLKI","1",1999-07-06,1999,"5",6,5
"93","BLKI","1",1999-07-07,1999,"6",9,6
"94","BLKI","1",1999-07-10,1999,"7",10,7
"95","BLKI","1",1999-07-14,1999,"8",3,8
"96","BLKI","1",1999-07-15,1999,"9",1,9
"97","BLKI","1",1999-07-17,1999,"10",10,10
"98","BLKI","1",2000-06-16,2000,"1",21,1
"99","BLKI","1",2000-06-17,2000,"2",24,2
"100","BLKI","1",2000-06-19,2000,"3",23,3
"101","BLKI","1",2000-06-22,2000,"4",28,4
"102","BLKI","1",2000-06-23,2000,"5",20,5
"103","BLKI","1",2000-06-26,2000,"6",27,6
"104","BLKI","1",2000-06-27,2000,"7",22,7
"105","BLKI","1",2000-06-29,2000,"8",16,8
"106","BLKI","1",2000-07-01,2000,"9",7,9
"107","BLKI","1",2000-07-02,2000,"10",5,10
"108","BLKI","1",2000-07-05,2000,"11",5,11
"109","BLKI","1",2000-07-10,2000,"12",22,12
"110","BLKI","1",2001-06-12,2001,"1",19,1
"111","BLKI","1",2001-06-14,2001,"2",16,2
"112","BLKI","1",2001-06-15,2001,"3",13,3
"113","BLKI","1",2001-06-17,2001,"4",14,4
"114","BLKI","1",2001-06-18,2001,"5",19,5
"115","BLKI","1",2001-06-20,2001,"5",14,6
"116","BLKI","1",2001-06-25,2001,"6",15,7
"117","BLKI","1",2001-06-28,2001,"6",12,8
"118","BLKI","1",2001-06-30,2001,"7",11,9
"119","BLKI","1",2001-07-02,2001,"8",10,10
"120","BLKI","1",2001-07-04,2001,"9",6,11
"121","BLKI","1",2001-07-05,2001,"10",6,12
"122","BLKI","1",2002-06-14,2002,"1",22,1
"123","BLKI","1",2002-06-15,2002,"2",22,2
"124","BLKI","1",2002-06-18,2002,"3",19,3
"125","BLKI","1",2002-06-19,2002,"4",15,4
"126","BLKI","1",2002-06-21,2002,"5",15,5
"127","BLKI","1",2002-06-22,2002,"6",15,6
"128","BLKI","1",2002-06-24,2002,"7",13,7
"129","BLKI","1",2002-06-25,2002,"8",13,8
"130","BLKI","1",2002-06-27,2002,"9",14,9
"131","BLKI","1",2002-06-28,2002,"10",13,10
"132","BLKI","1",2003-06-13,2003,"1",12,1
"133","BLKI","1",2003-06-15,2003,"2",11,2
"134","BLKI","1",2003-06-17,2003,"3",14,3
"135","BLKI","1",2003-06-19,2003,"4",11,4
"136","BLKI","1",2003-06-22,2003,"5",13,5
"137","BLKI","1",2003-06-24,2003,"6",14,6
"138","BLKI","1",2003-06-26,2003,"7",10,7
"139","BLKI","1",2003-06-29,2003,"8",11,8
"140","BLKI","1",2003-07-03,2003,"9",11,9
