Species,PlotID,Date,Year,Replicate,Birds,Nests
BLKI,18,6/21/1990,1990,1,6,9
BLKI,1,6/21/1990,1990,1,26,21
BLKI,2,6/21/1990,1990,1,0,0
BLKI,2A,6/21/1990,1990,1,13,12
BLKI,3A,6/21/1990,1990,1,8,8
BLKI,3C,6/21/1990,1990,1,0,0
BLKI,4,6/21/1990,1990,1,32,26
BLKI,5A,6/21/1990,1990,1,2,2
BLKI,5B,6/21/1990,1990,1,35,38
BLKI,6A,6/21/1990,1990,1,6,4
BLKI,6B,6/21/1990,1990,1,7,10
BLKI,7A,6/21/1990,1990,1,24,26
BLKI,7B,6/21/1990,1990,1,110,90
BLKI,7C,6/21/1990,1990,1,0,0
BLKI,7D,6/21/1990,1990,1,48,43
BLKI,7E,6/21/1990,1990,1,35,31
BLKI,7F,6/21/1990,1990,1,0,0
BLKI,7G,6/21/1990,1990,1,0,0
BLKI,7H,6/21/1990,1990,1,62,50
BLKI,7.1 A,6/21/1990,1990,1,60,54
BLKI,8,6/21/1990,1990,1,85,77
BLKI,9,6/21/1990,1990,1,143,135
BLKI,10A,6/21/1990,1990,1,49,45
BLKI,10B,6/21/1990,1990,1,54,48
BLKI,10C,6/21/1990,1990,1,81,74
BLKI,10DEF,6/21/1990,1990,1,258,245
BLKI,10G,6/21/1990,1990,1,164,161
BLKI,10H,6/21/1990,1990,1,84,81
BLKI,10I,6/21/1990,1990,1,102,100
BLKI,11,6/21/1990,1990,1,58,60
BLKI,12,6/21/1990,1990,1,121,104
BLKI,13A,6/21/1990,1990,1,7,3
BLKI,13B,6/21/1990,1990,1,115,112
BLKI,14,6/21/1990,1990,1,56,51
BLKI,15A,6/21/1990,1990,1,164,133
BLKI,15B,6/21/1990,1990,1,32,30
COMU,18,6/21/1990,1990,1,0,
COMU,1,6/21/1990,1990,1,3,
COMU,2,6/21/1990,1990,1,0,
COMU,2A,6/21/1990,1990,1,0,
COMU,3A,6/21/1990,1990,1,21,
COMU,3C,6/21/1990,1990,1,0,
COMU,4,6/21/1990,1990,1,31,
COMU,5A,6/21/1990,1990,1,4,
COMU,5B,6/21/1990,1990,1,2,
COMU,6A,6/21/1990,1990,1,20,
COMU,6B,6/21/1990,1990,1,43,
COMU,7A,6/21/1990,1990,1,0,
COMU,7B,6/21/1990,1990,1,71,
COMU,7C,6/21/1990,1990,1,164,
COMU,7D,6/21/1990,1990,1,15,
COMU,7E,6/21/1990,1990,1,0,
COMU,7F,6/21/1990,1990,1,20,
COMU,7G,6/21/1990,1990,1,23,
COMU,7H,6/21/1990,1990,1,157,
COMU,7.1 A,6/21/1990,1990,1,0,
COMU,8,6/21/1990,1990,1,69,
COMU,9,6/21/1990,1990,1,264,
COMU,10A,6/21/1990,1990,1,212,
COMU,10B,6/21/1990,1990,1,97,
COMU,10C,6/21/1990,1990,1,235,
COMU,10DEF,6/21/1990,1990,1,820,
COMU,10G,6/21/1990,1990,1,240,
COMU,10H,6/21/1990,1990,1,335,
COMU,10I,6/21/1990,1990,1,278,
COMU,11,6/21/1990,1990,1,0,
COMU,12,6/21/1990,1990,1,223,
COMU,13A,6/21/1990,1990,1,20,
COMU,13B,6/21/1990,1990,1,177,
COMU,14,6/21/1990,1990,1,105,
COMU,15A,6/21/1990,1990,1,53,
COMU,15B,6/21/1990,1990,1,0,
PECO,18,6/21/1990,1990,1,1,1
PECO,1,6/21/1990,1990,1,1,0
PECO,2,6/21/1990,1990,1,0,0
PECO,2A,6/21/1990,1990,1,0,0
PECO,3A,6/21/1990,1990,1,7,4
PECO,3C,6/21/1990,1990,1,0,0
PECO,4,6/21/1990,1990,1,6,4
PECO,5A,6/21/1990,1990,1,5,3
PECO,5B,6/21/1990,1990,1,7,6
PECO,6A,6/21/1990,1990,1,0,0
PECO,6B,6/21/1990,1990,1,0,0
PECO,7A,6/21/1990,1990,1,0,0
PECO,7B,6/21/1990,1990,1,1,1
PECO,7C,6/21/1990,1990,1,1,0
PECO,7D,6/21/1990,1990,1,4,1
PECO,7E,6/21/1990,1990,1,0,0
PECO,7F,6/21/1990,1990,1,0,0
PECO,7G,6/21/1990,1990,1,0,0
PECO,7H,6/21/1990,1990,1,0,0
PECO,7.1 A,6/21/1990,1990,1,1,0
PECO,8,6/21/1990,1990,1,1,0
PECO,9,6/21/1990,1990,1,4,3
PECO,10A,6/21/1990,1990,1,0,0
PECO,10B,6/21/1990,1990,1,24,10
PECO,10C,6/21/1990,1990,1,7,3
PECO,10DEF,6/21/1990,1990,1,10,8
PECO,10G,6/21/1990,1990,1,6,6
PECO,10H,6/21/1990,1990,1,10,7
PECO,10I,6/21/1990,1990,1,1,1
PECO,11,6/21/1990,1990,1,0,0
PECO,12,6/21/1990,1990,1,8,6
PECO,13A,6/21/1990,1990,1,0,0
PECO,13B,6/21/1990,1990,1,0,0
PECO,14,6/21/1990,1990,1,9,8
PECO,15A,6/21/1990,1990,1,16,13
PECO,15B,6/21/1990,1990,1,8,3
BLKI,18,6/24/1990,1990,2,12,9
BLKI,1,6/24/1990,1990,2,32,21
BLKI,2,6/24/1990,1990,2,0,0
BLKI,2A,6/24/1990,1990,2,18,13
BLKI,3A,6/24/1990,1990,2,7,8
BLKI,3C,6/24/1990,1990,2,0,0
BLKI,4,6/24/1990,1990,2,58,26
BLKI,5A,6/24/1990,1990,2,0,0
BLKI,5B,6/24/1990,1990,2,50,39
BLKI,6A,6/24/1990,1990,2,7,3
BLKI,6B,6/24/1990,1990,2,8,10
BLKI,7A,6/24/1990,1990,2,21,26
BLKI,7B,6/24/1990,1990,2,89,87
BLKI,7C,6/24/1990,1990,2,0,0
BLKI,7D,6/24/1990,1990,2,33,32
BLKI,7E,6/24/1990,1990,2,35,34
BLKI,7F,6/24/1990,1990,2,0,0
BLKI,7G,6/24/1990,1990,2,0,0
BLKI,7H,6/24/1990,1990,2,55,52
BLKI,7.1 A,6/24/1990,1990,2,80,54
BLKI,8,6/24/1990,1990,2,85,74
BLKI,9,6/24/1990,1990,2,148,132
BLKI,10A,6/24/1990,1990,2,114,105
BLKI,10B,6/24/1990,1990,2,54,48
BLKI,10C,6/24/1990,1990,2,89,84
BLKI,10DEF,6/24/1990,1990,2,310,267
BLKI,10G,6/24/1990,1990,2,201,166
BLKI,10H,6/24/1990,1990,2,89,80
BLKI,10I,6/24/1990,1990,2,119,109
BLKI,11,6/24/1990,1990,2,57,59
BLKI,12,6/24/1990,1990,2,140,110
BLKI,13A,6/24/1990,1990,2,23,19
BLKI,13B,6/24/1990,1990,2,149,118
BLKI,14,6/24/1990,1990,2,68,55
BLKI,15A,6/24/1990,1990,2,180,137
BLKI,15B,6/24/1990,1990,2,26,25
COMU,18,6/24/1990,1990,2,0,
COMU,1,6/24/1990,1990,2,0,
COMU,2,6/24/1990,1990,2,0,
COMU,2A,6/24/1990,1990,2,0,
COMU,3A,6/24/1990,1990,2,0,
COMU,3C,6/24/1990,1990,2,0,
COMU,4,6/24/1990,1990,2,0,
COMU,5A,6/24/1990,1990,2,0,
COMU,5B,6/24/1990,1990,2,0,
COMU,6A,6/24/1990,1990,2,0,
COMU,6B,6/24/1990,1990,2,22,
COMU,7A,6/24/1990,1990,2,0,
COMU,7B,6/24/1990,1990,2,44,
COMU,7C,6/24/1990,1990,2,107,
COMU,7D,6/24/1990,1990,2,15,
COMU,7E,6/24/1990,1990,2,1,
COMU,7F,6/24/1990,1990,2,16,
COMU,7G,6/24/1990,1990,2,40,
COMU,7H,6/24/1990,1990,2,169,
COMU,7.1 A,6/24/1990,1990,2,0,
COMU,8,6/24/1990,1990,2,54,
COMU,9,6/24/1990,1990,2,211,
COMU,10A,6/24/1990,1990,2,218,
COMU,10B,6/24/1990,1990,2,68,
COMU,10C,6/24/1990,1990,2,159,
COMU,10DEF,6/24/1990,1990,2,765,
COMU,10G,6/24/1990,1990,2,180,
COMU,10H,6/24/1990,1990,2,374,
COMU,10I,6/24/1990,1990,2,290,
COMU,11,6/24/1990,1990,2,0,
COMU,12,6/24/1990,1990,2,220,
COMU,13A,6/24/1990,1990,2,102,
COMU,13B,6/24/1990,1990,2,170,
COMU,14,6/24/1990,1990,2,138,
COMU,15A,6/24/1990,1990,2,190,
COMU,15B,6/24/1990,1990,2,0,
PECO,18,6/24/1990,1990,2,1,1
PECO,1,6/24/1990,1990,2,0,0
PECO,2,6/24/1990,1990,2,0,0
PECO,2A,6/24/1990,1990,2,0,0
PECO,3A,6/24/1990,1990,2,3,4
PECO,3C,6/24/1990,1990,2,0,0
PECO,4,6/24/1990,1990,2,4,5
PECO,5A,6/24/1990,1990,2,4,4
PECO,5B,6/24/1990,1990,2,6,6
PECO,6A,6/24/1990,1990,2,0,0
PECO,6B,6/24/1990,1990,2,0,0
PECO,7A,6/24/1990,1990,2,0,0
PECO,7B,6/24/1990,1990,2,1,1
PECO,7C,6/24/1990,1990,2,0,0
PECO,7D,6/24/1990,1990,2,1,1
PECO,7E,6/24/1990,1990,2,0,0
PECO,7F,6/24/1990,1990,2,0,0
PECO,7G,6/24/1990,1990,2,0,0
PECO,7H,6/24/1990,1990,2,0,0
PECO,7.1 A,6/24/1990,1990,2,0,0
PECO,8,6/24/1990,1990,2,0,0
PECO,9,6/24/1990,1990,2,3,3
PECO,10A,6/24/1990,1990,2,0,0
PECO,10B,6/24/1990,1990,2,16,10
PECO,10C,6/24/1990,1990,2,8,3
PECO,10DEF,6/24/1990,1990,2,9,8
PECO,10G,6/24/1990,1990,2,7,6
PECO,10H,6/24/1990,1990,2,9,7
PECO,10I,6/24/1990,1990,2,3,1
PECO,11,6/24/1990,1990,2,0,0
PECO,12,6/24/1990,1990,2,7,6
PECO,13A,6/24/1990,1990,2,2,0
PECO,13B,6/24/1990,1990,2,0,0
PECO,14,6/24/1990,1990,2,12,8
PECO,15A,6/24/1990,1990,2,16,13
PECO,15B,6/24/1990,1990,2,4,3
BLKI,18,6/27/1990,1990,3,11,11
BLKI,1,6/27/1990,1990,3,40,20
BLKI,2,6/27/1990,1990,3,0,0
BLKI,2A,6/27/1990,1990,3,14,10
BLKI,3A,6/27/1990,1990,3,11,8
BLKI,3C,6/27/1990,1990,3,0,0
BLKI,4,6/27/1990,1990,3,67,27
BLKI,5A,6/27/1990,1990,3,0,0
BLKI,5B,6/27/1990,1990,3,49,38
BLKI,6A,6/27/1990,1990,3,15,4
BLKI,6B,6/27/1990,1990,3,17,11
BLKI,7A,6/27/1990,1990,3,8,23
BLKI,7B,6/27/1990,1990,3,60,77
BLKI,7C,6/27/1990,1990,3,0,0
BLKI,7D,6/27/1990,1990,3,29,30
BLKI,7E,6/27/1990,1990,3,23,31
BLKI,7F,6/27/1990,1990,3,0,0
BLKI,7G,6/27/1990,1990,3,0,0
BLKI,7H,6/27/1990,1990,3,41,41
BLKI,7.1 A,6/27/1990,1990,3,61,62
BLKI,8,6/27/1990,1990,3,85,85
BLKI,9,6/27/1990,1990,3,160,136
BLKI,10A,6/27/1990,1990,3,65,90
BLKI,10B,6/27/1990,1990,3,10,44
BLKI,10C,6/27/1990,1990,3,72,73
BLKI,10DEF,6/27/1990,1990,3,232,235
BLKI,10G,6/27/1990,1990,3,143,142
BLKI,10H,6/27/1990,1990,3,78,80
BLKI,10I,6/27/1990,1990,3,86,89
BLKI,11,6/27/1990,1990,3,66,59
BLKI,12,6/27/1990,1990,3,145,107
BLKI,13A,6/27/1990,1990,3,43,26
BLKI,13B,6/27/1990,1990,3,162,120
BLKI,14,6/27/1990,1990,3,67,57
BLKI,15A,6/27/1990,1990,3,163,119
BLKI,15B,6/27/1990,1990,3,26,25
COMU,18,6/27/1990,1990,3,0,
COMU,1,6/27/1990,1990,3,0,
COMU,2,6/27/1990,1990,3,0,
COMU,2A,6/27/1990,1990,3,0,
COMU,3A,6/27/1990,1990,3,0,
COMU,3C,6/27/1990,1990,3,0,
COMU,4,6/27/1990,1990,3,11,
COMU,5A,6/27/1990,1990,3,0,
COMU,5B,6/27/1990,1990,3,0,
COMU,6A,6/27/1990,1990,3,0,
COMU,6B,6/27/1990,1990,3,28,
COMU,7A,6/27/1990,1990,3,0,
COMU,7B,6/27/1990,1990,3,54,
COMU,7C,6/27/1990,1990,3,93,
COMU,7D,6/27/1990,1990,3,16,
COMU,7E,6/27/1990,1990,3,0,
COMU,7F,6/27/1990,1990,3,23,
COMU,7G,6/27/1990,1990,3,30,
COMU,7H,6/27/1990,1990,3,146,
COMU,7.1 A,6/27/1990,1990,3,0,
COMU,8,6/27/1990,1990,3,0,
COMU,9,6/27/1990,1990,3,242,
COMU,10A,6/27/1990,1990,3,270,
COMU,10B,6/27/1990,1990,3,83,
COMU,10C,6/27/1990,1990,3,207,
COMU,10DEF,6/27/1990,1990,3,962,
COMU,10G,6/27/1990,1990,3,249,
COMU,10H,6/27/1990,1990,3,403,
COMU,10I,6/27/1990,1990,3,367,
COMU,11,6/27/1990,1990,3,0,
COMU,12,6/27/1990,1990,3,191,
COMU,13A,6/27/1990,1990,3,144,
COMU,13B,6/27/1990,1990,3,220,
COMU,14,6/27/1990,1990,3,144,
COMU,15A,6/27/1990,1990,3,120,
COMU,15B,6/27/1990,1990,3,0,
PECO,18,6/27/1990,1990,3,0,1
PECO,1,6/27/1990,1990,3,1,0
PECO,2,6/27/1990,1990,3,0,0
PECO,2A,6/27/1990,1990,3,0,0
PECO,3A,6/27/1990,1990,3,4,4
PECO,3C,6/27/1990,1990,3,0,0
PECO,4,6/27/1990,1990,3,5,5
PECO,5A,6/27/1990,1990,3,5,4
PECO,5B,6/27/1990,1990,3,14,6
PECO,6A,6/27/1990,1990,3,0,0
PECO,6B,6/27/1990,1990,3,0,0
PECO,7A,6/27/1990,1990,3,0,0
PECO,7B,6/27/1990,1990,3,1,1
